employee_completion_rate,employee_failure_rate,employee_rejection_rate,current_active_tasks,task_priority,category_match_rate,high_priority_success_rate,is_successful
0.55,0.131,0.069,3,1,0.467,0.998,0
0.497,0.295,0.044,9,3,0.241,0.805,0
0.68,0.015,0.196,6,2,0.363,0.788,0
0.399,0.19,0.204,0,2,0.578,0.251,0
0.705,0.11,0.185,10,2,0.209,0.519,0
0.352,0.368,0.151,5,4,0.103,0.269,0
0.784,0.004,0.212,7,4,0.926,0.489,0
0.626,0.165,0.209,0,4,0.374,0.656,0
0.439,0.296,0.242,7,3,0.299,0.903,0
0.304,0.194,0.191,6,1,0.729,0.426,0
0.871,0.034,0.091,0,1,0.868,0.699,1
0.538,0.263,0.199,8,3,0.669,0.332,0
0.737,0.188,0.075,10,3,0.329,0.483,0
0.733,0.214,0.053,2,4,0.875,0.958,1
0.352,0.095,0.133,1,2,0.559,0.798,0
0.551,0.193,0.017,6,2,0.443,0.637,0
0.381,0.172,0.294,10,4,0.644,0.401,0
0.814,0.027,0.159,2,4,0.731,0.504,0
0.736,0.042,0.167,0,1,0.634,0.325,1
0.5,0.315,0.185,9,4,0.928,0.483,0
0.344,0.096,0.149,12,2,0.665,0.321,0
0.518,0.078,0.01,2,2,0.891,0.836,1
0.528,0.202,0.184,5,3,0.628,0.265,0
0.608,0.231,0.161,2,1,0.397,0.352,0
0.746,0.025,0.125,4,3,0.579,0.753,1
0.668,0.167,0.165,8,1,0.178,0.922,0
0.631,0.048,0.068,6,3,0.307,0.972,0
0.384,0.015,0.066,1,1,0.79,0.869,0
0.799,0.021,0.048,0,4,0.695,0.369,1
0.652,0.261,0.087,6,2,0.25,0.429,0
0.693,0.047,0.254,3,4,0.494,0.897,0
0.759,0.016,0.225,10,1,0.228,0.911,0
0.646,0.175,0.115,6,1,0.87,0.713,0
0.564,0.286,0.15,5,3,0.198,0.451,0
0.599,0.105,0.216,6,1,0.689,0.379,0
0.318,0.169,0.072,3,4,0.646,0.882,0
0.376,0.016,0.05,2,1,0.525,0.364,0
0.322,0.18,0.292,11,1,0.35,0.729,0
0.642,0.199,0.159,4,3,0.464,0.974,0
0.499,0.219,0.282,2,1,0.826,0.764,0
0.656,0.133,0.101,13,3,0.785,0.406,0
0.735,0.099,0.166,2,2,0.765,0.426,0
0.475,0.043,0.067,3,3,0.775,0.274,0
0.587,0.147,0.078,7,1,0.229,0.749,0
0.811,0.039,0.15,1,2,0.189,0.615,1
0.46,0.307,0.096,3,1,0.875,0.365,0
0.354,0.387,0.05,10,3,0.853,0.382,0
0.503,0.388,0.079,2,4,0.713,0.207,0
0.413,0.346,0.011,6,2,0.645,0.983,0
0.678,0.171,0.151,1,4,0.43,0.862,0
0.669,0.217,0.114,0,4,0.302,0.515,0
0.743,0.114,0.028,9,2,0.701,0.957,0
0.75,0.208,0.042,0,4,0.922,0.742,1
0.802,0.169,0.029,5,4,0.493,0.801,1
0.431,0.193,0.184,2,4,0.373,0.744,0
0.736,0.241,0.022,6,4,0.344,0.805,0
0.666,0.111,0.223,7,2,0.121,0.337,0
0.865,0.127,0.006,4,1,0.568,0.65,0
0.676,0.27,0.055,4,4,0.989,0.88,1
0.523,0.022,0.267,11,2,0.834,0.216,0
0.377,0.194,0.216,1,2,0.908,0.299,0
0.46,0.365,0.022,7,2,0.659,0.397,0
0.55,0.224,0.226,9,2,0.533,0.436,0
0.704,0.176,0.119,12,3,0.991,0.346,0
0.718,0.08,0.202,0,1,0.502,0.699,0
0.305,0.137,0.18,9,1,0.925,0.435,0
0.547,0.283,0.17,8,4,0.786,0.326,0
0.532,0.201,0.268,0,2,0.398,0.925,1
0.455,0.206,0.07,0,3,0.553,0.756,1
0.384,0.04,0.187,0,2,0.446,0.397,0
0.536,0.006,0.138,6,4,0.223,0.489,0
0.707,0.284,0.009,3,1,0.421,0.793,0
0.526,0.151,0.004,11,4,0.9,0.833,0
0.663,0.241,0.036,6,4,0.777,0.341,0
0.778,0.031,0.191,4,4,0.35,0.949,0
0.555,0.273,0.17,11,4,0.431,0.828,0
0.645,0.246,0.109,13,4,0.655,0.885,0
0.802,0.19,0.008,6,4,0.475,0.315,1
0.476,0.05,0.141,9,4,0.553,0.315,0
0.56,0.201,0.24,13,1,0.728,0.444,0
0.511,0.307,0.119,6,1,0.521,0.252,0
0.499,0.163,0.187,3,2,0.272,0.273,0
0.326,0.352,0.234,1,2,0.569,0.315,0
0.595,0.212,0.193,7,3,0.421,0.77,0
0.558,0.308,0.133,1,3,0.362,0.224,0
0.336,0.249,0.257,8,1,0.395,0.267,0
0.495,0.053,0.117,4,1,0.495,0.955,0
0.706,0.093,0.201,8,3,0.898,0.267,0
0.468,0.081,0.072,14,1,0.761,0.63,0
0.401,0.364,0.084,8,3,0.701,0.714,0
0.643,0.304,0.016,13,2,0.524,0.967,0
0.66,0.18,0.159,7,1,0.102,0.92,0
0.469,0.12,0.125,7,1,0.406,0.553,0
0.77,0.074,0.069,3,3,0.832,0.954,1
0.691,0.251,0.058,13,4,0.449,0.546,0
0.466,0.19,0.27,3,4,0.607,0.736,0
0.704,0.079,0.217,13,2,0.284,0.408,0
0.557,0.247,0.166,1,1,0.924,0.709,1
0.743,0.016,0.185,3,1,0.931,0.631,1
0.732,0.128,0.14,3,3,0.231,0.685,0
0.675,0.187,0.117,5,4,0.752,0.746,1
0.363,0.059,0.275,2,4,0.168,0.339,0
0.672,0.299,0.029,1,2,0.639,0.441,1
0.525,0.084,0.126,14,4,0.261,0.789,0
0.431,0.052,0.103,7,4,0.231,0.331,0
0.329,0.081,0.149,1,4,0.104,0.475,0
0.616,0.266,0.119,7,3,0.947,0.733,0
0.704,0.155,0.141,6,4,0.846,0.95,1
0.312,0.226,0.042,2,2,0.17,0.26,0
0.658,0.008,0.154,5,4,0.639,0.613,1
0.459,0.014,0.073,5,2,0.31,0.266,0
0.752,0.178,0.055,9,3,0.338,0.503,0
0.422,0.327,0.019,13,3,0.887,0.34,0
0.573,0.259,0.167,4,2,0.203,0.72,0
0.571,0.035,0.128,12,3,0.641,0.806,0
0.703,0.158,0.138,7,1,0.461,0.398,1
0.396,0.365,0.218,14,1,0.272,0.77,0
0.539,0.155,0.204,10,1,0.507,0.557,0
0.379,0.332,0.141,11,1,0.946,0.427,0
0.848,0.048,0.104,4,1,0.803,0.619,1
0.652,0.267,0.081,6,3,0.219,0.504,0
0.481,0.301,0.192,5,2,0.864,0.384,0
0.592,0.293,0.115,10,3,0.944,0.805,0
0.624,0.194,0.182,14,4,0.349,0.838,0
0.628,0.133,0.239,6,1,0.4,0.84,0
0.611,0.342,0.047,12,1,0.214,0.506,0
0.469,0.11,0.041,8,3,0.41,0.336,0
0.365,0.133,0.189,2,4,0.706,0.872,1
0.715,0.216,0.07,9,3,0.345,0.463,0
0.749,0.246,0.004,6,2,0.106,0.798,0
0.538,0.269,0.193,12,1,0.405,0.854,0
0.537,0.082,0.068,9,3,0.508,0.815,0
0.477,0.279,0.244,2,2,0.61,0.512,0
0.613,0.224,0.163,12,1,0.715,0.95,0
0.785,0.022,0.194,1,1,0.156,0.728,0
0.81,0.136,0.053,11,1,0.523,0.661,0
0.822,0.11,0.068,6,4,0.34,0.758,0
0.729,0.119,0.152,3,3,0.953,0.236,1
0.359,0.393,0.052,0,1,0.424,0.512,0
0.413,0.257,0.092,5,1,0.19,0.905,0
0.708,0.219,0.073,10,2,0.137,0.329,0
0.623,0.336,0.041,5,3,0.339,0.532,0
0.306,0.151,0.062,5,2,0.261,0.524,0
0.371,0.321,0.237,1,3,0.685,0.485,0
0.764,0.174,0.05,0,1,0.862,0.65,1
0.304,0.348,0.009,2,4,0.381,0.997,0
0.413,0.072,0.189,11,2,0.62,0.405,0
0.505,0.28,0.216,13,4,0.757,0.764,0
0.784,0.088,0.099,1,4,0.459,0.806,1
0.756,0.13,0.036,5,4,0.16,0.668,0
0.457,0.302,0.171,12,3,0.306,0.278,0
0.65,0.128,0.221,11,3,0.895,0.658,0
0.466,0.243,0.235,5,4,0.842,0.963,0
0.528,0.178,0.187,12,1,0.178,0.474,0
0.678,0.245,0.078,4,1,0.302,0.712,1
0.748,0.091,0.161,9,4,0.792,0.968,0
0.894,0.023,0.027,9,2,0.537,0.838,0
0.701,0.111,0.188,4,2,0.784,0.751,1
0.631,0.172,0.197,8,3,0.29,0.977,0
0.366,0.067,0.29,13,2,0.957,0.336,0
0.557,0.142,0.078,4,1,0.805,0.818,1
0.486,0.16,0.006,12,4,0.278,0.525,0
0.471,0.023,0.164,9,2,0.603,0.488,0
0.688,0.164,0.149,5,4,0.202,0.617,0
0.493,0.303,0.203,10,2,0.425,0.227,0
0.886,0.058,0.056,3,3,0.694,0.45,0
0.7,0.226,0.074,9,1,0.397,0.333,1
0.671,0.208,0.121,13,3,0.691,0.311,0
0.652,0.168,0.099,13,4,0.32,0.47,0
0.566,0.226,0.208,14,1,0.749,0.842,0
0.645,0.164,0.142,0,1,0.424,0.361,1
0.437,0.202,0.24,3,3,0.811,0.625,1
0.806,0.003,0.174,1,2,0.223,0.799,0
0.494,0.275,0.231,9,3,0.426,0.393,0
0.317,0.265,0.1,2,4,0.518,0.939,0
0.74,0.015,0.245,6,2,0.481,0.893,0
0.424,0.147,0.082,6,3,0.49,0.401,0
0.633,0.259,0.108,0,3,0.5,0.992,1
0.806,0.14,0.053,7,2,0.99,0.735,1
0.732,0.156,0.111,6,2,0.274,0.429,0
0.549,0.357,0.094,0,2,0.792,0.745,1
0.311,0.287,0.08,7,3,0.597,0.733,0
0.645,0.158,0.197,13,2,0.472,0.685,0
0.6,0.319,0.048,13,2,0.67,0.769,0
0.627,0.222,0.152,1,2,0.868,0.415,0
0.671,0.126,0.203,7,1,0.52,0.983,0
0.821,0.174,0.005,2,4,0.878,0.886,1
0.506,0.154,0.21,9,2,0.184,0.797,0
0.552,0.375,0.074,6,4,0.688,0.221,0
0.755,0.235,0.01,12,2,0.4,0.672,0
0.522,0.033,0.121,5,2,0.448,0.765,0
0.401,0.331,0.269,4,1,0.614,0.883,0
0.69,0.192,0.004,14,1,0.532,0.957,0
0.824,0.024,0.152,10,2,0.444,0.933,1
0.68,0.19,0.13,9,2,0.377,0.525,0
0.62,0.148,0.232,13,2,0.656,0.917,0
0.368,0.351,0.025,10,4,0.555,0.201,0
0.719,0.08,0.201,1,2,0.391,0.481,0
0.65,0.216,0.134,1,4,0.284,0.291,0
0.398,0.223,0.201,12,1,0.797,0.906,0
0.663,0.022,0.283,11,4,0.82,0.942,0
0.59,0.251,0.159,14,2,0.292,0.405,0
0.79,0.198,0.012,0,1,0.335,0.494,0
0.754,0.111,0.135,13,3,0.315,0.987,0
0.72,0.171,0.109,8,1,0.896,0.653,0
0.552,0.343,0.093,10,3,0.797,0.598,0
0.506,0.122,0.135,7,4,0.167,0.6,0
0.818,0.073,0.109,7,1,0.849,0.757,0
0.827,0.049,0.124,0,1,0.133,0.964,0
0.687,0.09,0.223,4,1,0.328,0.493,0
0.735,0.244,0.021,11,4,0.927,0.338,0
0.586,0.168,0.246,5,2,0.878,0.348,0
0.651,0.091,0.144,14,4,0.803,0.216,0
0.772,0.06,0.168,1,1,0.512,0.644,1
0.664,0.117,0.219,9,2,0.389,0.943,0
0.62,0.295,0.085,14,1,0.893,0.77,0
0.763,0.122,0.115,4,1,0.691,0.994,1
0.64,0.274,0.085,5,3,0.366,0.928,0
0.537,0.194,0.112,8,1,0.517,0.593,0
0.563,0.072,0.278,14,4,0.893,0.589,0
0.366,0.356,0.249,9,4,0.913,0.703,0
0.705,0.184,0.033,0,4,0.693,0.289,0
0.325,0.284,0.032,12,2,0.759,0.686,0
0.545,0.343,0.112,9,3,0.135,0.571,0
0.68,0.02,0.03,2,3,0.644,0.714,1
0.501,0.039,0.186,11,1,0.72,0.652,0
0.683,0.276,0.041,8,1,0.118,0.448,0
0.321,0.113,0.157,14,3,0.859,0.686,0
0.326,0.074,0.002,13,2,0.935,0.493,0
0.876,0.016,0.095,0,4,0.314,0.356,0
0.552,0.009,0.203,0,1,0.861,0.74,1
0.389,0.31,0.145,0,3,0.699,0.445,0
0.657,0.053,0.29,6,2,0.623,0.911,1
0.651,0.145,0.204,12,4,0.859,0.359,0
0.451,0.242,0.108,4,1,0.357,0.68,0
0.736,0.171,0.014,5,4,0.812,0.657,0
0.36,0.011,0.254,12,4,0.383,0.358,0
0.336,0.313,0.273,14,3,0.809,0.552,0
0.672,0.004,0.246,13,3,0.506,0.74,0
0.664,0.298,0.038,7,4,0.205,0.455,0
0.532,0.255,0.213,13,4,0.443,0.291,0
0.763,0.163,0.073,12,1,0.31,0.692,0
0.695,0.151,0.154,1,2,0.19,0.379,0
0.588,0.17,0.242,12,2,0.199,0.745,0
0.526,0.156,0.071,1,4,0.802,0.872,1
0.577,0.239,0.184,2,3,0.893,0.299,0
0.49,0.358,0.093,12,2,0.934,0.55,0
0.587,0.13,0.283,2,4,0.869,0.556,1
0.355,0.246,0.084,12,3,0.847,0.706,0
0.318,0.371,0.286,2,1,0.162,0.468,0
0.708,0.28,0.012,3,2,0.811,0.535,1
0.68,0.156,0.163,2,1,0.805,0.21,1
0.698,0.161,0.142,1,3,0.218,0.298,0
0.586,0.111,0.143,8,4,0.696,0.656,0
0.421,0.384,0.067,5,1,0.507,0.373,0
0.41,0.057,0.212,2,4,0.91,0.316,1
0.475,0.232,0.057,8,2,0.726,0.46,0
0.684,0.113,0.166,14,1,0.956,0.331,0
0.8,0.112,0.076,3,2,0.194,0.248,0
0.629,0.134,0.237,3,2,0.137,0.427,0
0.496,0.4,0.009,7,2,0.976,0.331,0
0.922,0.021,0.057,6,2,0.172,0.84,0
0.729,0.207,0.065,14,2,0.448,0.25,0
0.688,0.033,0.124,6,3,0.685,0.798,0
0.728,0.062,0.07,9,1,0.892,0.506,1
0.594,0.176,0.147,6,4,0.329,0.74,0
0.473,0.204,0.262,9,4,0.126,0.242,0
0.549,0.104,0.214,10,3,0.569,0.937,0
0.734,0.112,0.154,4,4,0.524,0.814,0
0.31,0.035,0.027,14,4,0.376,0.312,0
0.381,0.121,0.208,6,4,0.887,0.375,0
0.332,0.387,0.05,3,1,0.774,0.715,0
0.329,0.378,0.236,7,4,0.872,0.937,0
0.811,0.121,0.068,8,1,0.246,0.557,0
0.692,0.199,0.109,12,4,0.723,0.589,0
0.574,0.33,0.096,11,4,0.978,0.39,0
0.368,0.002,0.258,2,1,0.651,0.506,0
0.64,0.322,0.038,6,3,0.254,0.429,0
0.535,0.321,0.144,11,4,0.996,0.48,0
0.421,0.037,0.043,9,2,0.575,0.216,0
0.604,0.065,0.211,8,2,0.856,0.233,0
0.469,0.311,0.22,0,3,0.234,0.745,0
0.679,0.2,0.121,1,2,0.699,0.745,1
0.745,0.006,0.146,6,1,0.921,0.464,1
0.332,0.103,0.278,14,4,0.579,0.908,0
0.562,0.18,0.156,12,4,0.36,0.413,0
0.635,0.239,0.126,1,4,0.215,0.517,0
0.583,0.262,0.155,6,4,0.366,0.785,0
0.598,0.265,0.137,0,2,0.419,0.795,1
0.761,0.115,0.032,14,2,0.739,0.889,0
0.414,0.215,0.246,2,2,0.261,0.223,0
0.349,0.213,0.131,14,1,0.195,0.347,0
0.75,0.162,0.022,4,2,0.448,0.712,0
0.319,0.068,0.236,13,2,0.513,0.471,0
0.585,0.322,0.093,11,4,0.666,0.235,0
0.721,0.257,0.023,13,2,0.737,0.669,0
0.643,0.182,0.174,10,3,0.9,0.514,0
0.531,0.224,0.245,5,3,0.36,0.491,0
0.677,0.082,0.24,14,4,0.576,0.411,0
0.552,0.193,0.255,12,2,0.429,0.205,0
0.559,0.228,0.213,8,3,0.101,0.346,0
0.823,0.177,0.001,8,3,0.621,0.579,0
0.528,0.367,0.106,2,1,0.834,0.421,0
0.665,0.167,0.168,13,4,0.133,0.9,0
0.783,0.124,0.092,7,3,0.103,0.314,0
0.437,0.309,0.18,12,3,0.755,0.9,0
0.349,0.068,0.182,3,4,0.715,0.524,0
0.371,0.154,0.11,6,2,0.465,0.421,0
0.313,0.139,0.271,5,4,0.695,0.443,0
0.366,0.173,0.151,7,1,0.958,0.464,0
0.632,0.254,0.113,5,1,0.323,0.605,0
0.35,0.194,0.299,3,1,0.321,0.483,0
0.523,0.318,0.148,1,3,0.268,0.718,0
0.758,0.196,0.046,6,2,0.752,0.54,0
0.316,0.137,0.154,10,1,0.418,0.737,0
0.605,0.225,0.17,14,4,0.99,0.684,0
0.497,0.095,0.233,12,1,0.743,0.396,0
0.383,0.09,0.237,10,3,0.431,0.85,0
0.655,0.168,0.177,3,1,0.234,0.839,0
0.74,0.104,0.076,12,2,0.633,0.991,0
0.777,0.003,0.22,8,1,0.365,0.34,0
0.607,0.193,0.2,8,2,0.915,0.878,0
0.767,0.182,0.052,6,2,0.497,0.898,1
0.497,0.178,0.039,4,4,0.363,0.714,0
0.384,0.35,0.265,2,2,0.63,0.605,0
0.628,0.174,0.198,2,3,0.223,0.966,0
0.585,0.234,0.181,8,3,0.605,0.978,0
0.755,0.042,0.202,8,2,0.151,0.713,0
0.589,0.228,0.163,11,2,0.646,0.488,0
0.509,0.315,0.176,12,1,0.577,0.854,0
0.68,0.188,0.132,10,1,0.569,0.271,0
0.539,0.287,0.015,3,4,0.716,0.432,0
0.719,0.112,0.169,10,1,0.14,0.988,0
0.827,0.034,0.139,0,3,0.514,0.851,1
0.6,0.183,0.194,12,1,0.5,0.952,0
0.728,0.139,0.133,9,4,0.514,0.676,0
0.626,0.262,0.112,4,4,0.982,0.526,1
0.372,0.098,0.052,13,2,0.225,0.984,0
0.665,0.276,0.06,7,4,0.721,0.448,0
0.603,0.353,0.044,9,2,0.462,0.806,0
0.848,0.096,0.057,14,3,0.561,0.647,0
0.524,0.139,0.292,14,3,0.786,0.383,0
0.696,0.269,0.035,3,1,0.242,0.214,0
0.55,0.372,0.078,9,4,0.787,0.507,0
0.308,0.177,0.177,9,3,0.163,0.638,0
0.75,0.103,0.147,3,2,0.535,0.347,1
0.364,0.21,0.046,12,4,0.768,0.532,0
0.505,0.265,0.23,11,4,0.273,0.692,0
0.737,0.084,0.18,13,2,0.794,0.772,0
0.725,0.221,0.053,8,4,0.25,0.242,0
0.701,0.021,0.087,14,4,0.819,0.731,0
0.711,0.019,0.27,8,3,0.522,0.245,0
0.604,0.152,0.244,6,2,0.716,0.223,0
0.505,0.141,0.209,9,3,0.926,0.322,0
0.53,0.126,0.025,7,2,0.468,0.723,0
0.705,0.18,0.115,11,1,0.31,0.242,0
0.736,0.114,0.149,11,4,0.88,0.217,0
0.854,0.077,0.056,3,4,0.245,0.294,0
0.768,0.111,0.121,7,3,0.668,0.96,1
0.364,0.39,0.18,13,4,0.931,0.926,0
0.646,0.164,0.098,5,4,0.707,0.269,1
0.34,0.178,0.234,12,3,0.276,0.443,0
0.586,0.198,0.216,2,3,0.237,0.958,0
0.554,0.358,0.088,6,2,0.327,0.278,1
0.726,0.076,0.198,2,1,0.452,0.276,1
0.546,0.273,0.031,10,3,0.243,0.269,0
0.382,0.286,0.251,6,2,0.818,0.981,0
0.4,0.243,0.046,4,3,0.421,0.794,0
0.833,0.035,0.025,3,2,0.942,0.372,1
0.613,0.226,0.161,2,1,0.858,0.237,0
0.371,0.026,0.142,7,2,0.918,0.972,0
0.359,0.238,0.272,3,2,0.365,0.54,0
0.661,0.247,0.091,7,4,0.616,0.679,0
0.351,0.084,0.086,9,3,0.389,0.423,0
0.643,0.247,0.11,2,2,0.331,0.807,0
0.794,0.012,0.137,9,3,0.646,0.357,0
0.357,0.338,0.103,12,2,0.836,0.83,0
0.359,0.184,0.208,8,4,0.184,0.384,0
0.759,0.067,0.175,5,4,0.348,0.278,0
0.562,0.054,0.256,14,1,0.285,0.583,0
0.454,0.309,0.237,4,2,0.819,0.851,0
0.869,0.029,0.08,4,4,0.94,0.508,0
0.766,0.063,0.171,12,3,0.172,0.223,0
0.794,0.112,0.095,2,2,0.441,0.643,0
0.647,0.194,0.159,1,2,0.923,0.744,0
0.563,0.218,0.143,5,1,0.41,0.793,0
0.358,0.05,0.298,10,3,0.741,0.522,0
0.716,0.098,0.186,0,1,0.191,0.278,1
0.644,0.089,0.267,14,2,0.5,0.667,0
0.597,0.085,0.25,14,1,0.553,0.464,0
0.682,0.12,0.198,13,2,0.782,0.958,0
0.378,0.282,0.244,6,2,0.36,0.602,0
0.645,0.087,0.138,14,1,0.338,0.578,0
0.308,0.147,0.076,4,1,0.373,0.447,0
0.628,0.156,0.111,3,2,0.6,0.471,0
0.339,0.391,0.006,8,1,0.888,0.61,0
0.383,0.382,0.157,9,1,0.848,0.445,0
0.382,0.32,0.152,0,2,0.152,0.914,0
0.748,0.096,0.156,10,3,0.891,0.551,0
0.72,0.024,0.256,14,1,0.186,0.434,0
0.639,0.114,0.247,3,1,0.474,0.324,0
0.862,0.095,0.043,2,4,0.789,0.738,1
0.562,0.202,0.111,5,3,0.173,0.221,0
0.5,0.311,0.127,4,1,0.136,0.56,0
0.668,0.253,0.08,6,2,0.397,0.64,0
0.442,0.327,0.232,12,4,0.757,0.472,0
0.764,0.113,0.123,0,4,0.57,0.8,1
0.309,0.275,0.172,12,4,0.475,0.741,0
0.72,0.092,0.188,4,1,0.832,0.977,0
0.33,0.024,0.242,13,2,0.79,0.607,0
0.743,0.226,0.032,1,4,0.807,0.63,1
0.669,0.004,0.214,1,3,0.514,0.397,0
0.772,0.127,0.101,10,4,0.118,0.508,0
0.352,0.132,0.088,14,4,0.255,0.221,0
0.688,0.277,0.015,10,3,0.767,0.751,0
0.684,0.214,0.102,1,4,0.778,0.449,1
0.666,0.122,0.107,8,4,0.975,0.632,1
0.649,0.285,0.066,9,3,0.271,0.404,0
0.707,0.106,0.187,2,1,0.211,0.697,0
0.602,0.174,0.225,3,3,0.225,0.558,0
0.67,0.264,0.067,14,1,0.266,0.585,0
0.708,0.277,0.015,4,1,0.576,0.954,0
0.589,0.25,0.161,13,1,0.978,0.765,0
0.332,0.09,0.003,3,3,0.63,0.41,0
0.476,0.254,0.27,3,3,0.57,0.603,0
0.691,0.175,0.135,4,1,0.706,0.573,0
0.666,0.264,0.07,9,3,0.167,0.836,0
0.619,0.063,0.074,14,1,0.834,0.867,0
0.708,0.29,0.003,8,3,0.682,0.427,0
0.494,0.227,0.071,11,2,0.254,0.857,0
0.432,0.11,0.041,8,3,0.668,0.344,0
0.625,0.19,0.184,13,3,0.637,0.81,0
0.547,0.134,0.05,13,3,0.158,0.399,0
0.645,0.211,0.144,5,1,0.34,0.438,0
0.354,0.356,0.177,10,1,0.452,0.882,0
0.756,0.175,0.069,11,2,0.32,0.536,0
0.79,0.202,0.008,13,2,0.319,0.992,0
0.783,0.206,0.011,2,4,0.616,0.322,0
0.675,0.02,0.008,5,2,0.524,0.571,1
0.517,0.093,0.222,9,1,0.701,0.786,0
0.749,0.169,0.082,3,2,0.961,0.204,1
0.682,0.109,0.209,2,2,0.695,0.321,1
0.414,0.073,0.13,5,3,0.624,0.216,0
0.735,0.158,0.107,14,2,0.863,0.994,0
0.756,0.111,0.133,10,4,0.669,0.808,0
0.753,0.081,0.167,5,3,0.249,0.499,0
0.751,0.173,0.076,1,1,0.383,0.325,0
0.729,0.053,0.036,8,4,0.76,0.272,0
0.524,0.328,0.148,7,1,0.765,0.626,0
0.682,0.248,0.07,5,4,0.988,0.981,1
0.685,0.214,0.1,0,3,0.664,0.74,1
0.332,0.042,0.194,11,4,0.91,0.492,0
0.318,0.31,0.148,1,4,0.149,0.601,0
0.525,0.301,0.173,14,2,0.61,0.999,0
0.648,0.23,0.122,3,1,0.928,0.615,1
0.787,0.036,0.176,6,3,0.359,0.971,0
0.405,0.258,0.212,8,4,0.239,0.213,0
0.592,0.276,0.132,9,1,0.415,0.777,0
0.566,0.231,0.203,4,1,0.813,0.702,0
0.653,0.172,0.175,9,2,0.176,0.748,0
0.74,0.152,0.108,1,1,0.64,0.656,1
0.726,0.173,0.101,14,3,0.222,0.235,0
0.628,0.014,0.229,12,2,0.492,0.32,0
0.578,0.25,0.171,10,4,0.969,0.938,0
0.491,0.033,0.021,10,3,0.276,0.386,0
0.339,0.174,0.268,10,3,0.131,0.994,0
0.878,0.113,0.009,0,3,0.484,0.744,1
0.663,0.166,0.171,9,2,0.62,0.555,0
0.781,0.042,0.178,13,1,0.368,0.936,0
0.639,0.177,0.183,12,3,0.588,0.836,0
